title,start_at,end_at,color,user_id
WCLC Team Sync,2026-09-08T11:00:00-05:00,2026-09-08T12:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-08T17:30:00-05:00,2026-09-08T19:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-09T13:00:00-05:00,2026-09-09T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Dentist Appointment,2026-09-09T08:30:00-05:00,2026-09-09T09:30:00-05:00,red,00000000-0000-0000-0000-000000000000
Software Engineering Lecture,2026-09-10T09:30:00-05:00,2026-09-10T10:45:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-09-10T13:00:00-05:00,2026-09-10T16:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Algorithms Problem Set Due,2026-09-11T23:59:00-05:00,2026-09-11T23:59:00-05:00,red,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-11T07:00:00-05:00,2026-09-11T08:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Study Group – Algorithms,2026-09-13T14:00:00-05:00,2026-09-13T16:30:00-05:00,blue,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-15T09:00:00-05:00,2026-09-15T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-15T11:00:00-05:00,2026-09-15T12:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Midterm Exam – Algorithms,2026-09-16T09:00:00-05:00,2026-09-16T11:00:00-05:00,red,00000000-0000-0000-0000-000000000000
Lunch with Edward,2026-09-16T12:00:00-05:00,2026-09-16T13:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-16T13:00:00-05:00,2026-09-16T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Software Engineering Lecture,2026-09-17T09:30:00-05:00,2026-09-17T10:45:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Career Fair Prep,2026-09-17T14:00:00-05:00,2026-09-17T16:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-18T07:00:00-05:00,2026-09-18T08:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Career Fair,2026-09-18T10:00:00-05:00,2026-09-18T15:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Hackathon Weekend,2026-09-19T18:00:00-05:00,2026-09-21T18:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-22T09:00:00-05:00,2026-09-22T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-22T11:00:00-05:00,2026-09-22T12:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-22T17:30:00-05:00,2026-09-22T19:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-23T13:00:00-05:00,2026-09-23T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Code Review,2026-09-23T15:30:00-05:00,2026-09-23T16:30:00-05:00,blue,00000000-0000-0000-0000-000000000000
Software Engineering Lecture,2026-09-24T09:30:00-05:00,2026-09-24T10:45:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-09-24T13:00:00-05:00,2026-09-24T16:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-25T07:00:00-05:00,2026-09-25T08:30:00-05:00,green,00000000-0000-0000-0000-000000000000
SE Group Project Demo,2026-09-25T14:00:00-05:00,2026-09-25T16:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Study Group – SE Project,2026-09-27T13:00:00-05:00,2026-09-27T15:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-29T09:00:00-05:00,2026-09-29T10:15:00-05:00,blue,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-29T11:00:00-05:00,2026-09-29T12:00:00-05:00,purple,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-29T17:30:00-05:00,2026-09-29T19:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-30T13:00:00-05:00,2026-09-30T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Monthly Retrospective,2026-09-30T16:00:00-05:00,2026-09-30T17:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-14T09:00:00-05:00,2026-09-14T10:15:00-05:00,indigo,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-14T11:00:00-05:00,2026-09-14T12:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-14T12:30:00-05:00,2026-09-14T13:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-09-14T14:00:00-05:00,2026-09-14T16:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Study Group – Algorithms,2026-09-14T16:30:00-05:00,2026-09-14T18:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Data Structures Lab,2026-09-15T13:00:00-05:00,2026-09-15T15:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-15T15:30:00-05:00,2026-09-15T16:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-15T17:30:00-05:00,2026-09-15T18:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Software Engineering Lecture,2026-09-16T15:30:00-05:00,2026-09-16T16:45:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Code Review,2026-09-16T17:00:00-05:00,2026-09-16T18:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-17T11:00:00-05:00,2026-09-17T12:15:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Lunch with Edward,2026-09-17T12:30:00-05:00,2026-09-17T13:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Office Hours – Prof. Chen,2026-09-17T16:30:00-05:00,2026-09-17T17:30:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-17T18:00:00-05:00,2026-09-17T19:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Project Brainstorm,2026-09-18T15:30:00-05:00,2026-09-18T16:30:00-05:00,blue,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-18T17:00:00-05:00,2026-09-18T18:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Study Group – SE Project,2026-09-19T11:00:00-05:00,2026-09-19T13:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Hackathon Planning,2026-09-19T14:00:00-05:00,2026-09-19T16:00:00-05:00,orange,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-20T10:00:00-05:00,2026-09-20T11:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Research Paper Review,2026-09-20T13:00:00-05:00,2026-09-20T14:30:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-09-20T15:00:00-05:00,2026-09-20T17:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-12T09:00:00-05:00,2026-09-12T10:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Study Group – Algorithms,2026-09-12T14:00:00-05:00,2026-09-12T16:00:00-05:00,indigo,00000000-0000-0000-0000-000000000000
WCLC Team Sync,2026-09-21T11:00:00-05:00,2026-09-21T12:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Monthly Retrospective,2026-09-21T15:00:00-05:00,2026-09-21T16:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Gym Session,2026-09-26T10:00:00-05:00,2026-09-26T11:30:00-05:00,green,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-26T15:00:00-05:00,2026-09-26T16:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Intro to Algorithms,2026-09-28T09:00:00-05:00,2026-09-28T10:15:00-05:00,indigo,00000000-0000-0000-0000-000000000000
Deep Work Block,2026-09-28T13:00:00-05:00,2026-09-28T15:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Yoga Class,2026-09-14T07:00:00-05:00,2026-09-14T08:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Dinner with Roommates,2026-09-14T19:00:00-05:00,2026-09-14T20:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Morning Run,2026-09-15T06:30:00-05:00,2026-09-15T07:30:00-05:00,teal,00000000-0000-0000-0000-000000000000
Book Club,2026-09-15T19:00:00-05:00,2026-09-15T20:30:00-05:00,pink,00000000-0000-0000-0000-000000000000
Basketball Pickup,2026-09-16T18:00:00-05:00,2026-09-16T19:30:00-05:00,teal,00000000-0000-0000-0000-000000000000
Grocery Run,2026-09-17T20:00:00-05:00,2026-09-17T21:00:00-05:00,green,00000000-0000-0000-0000-000000000000
1:1 with Manager,2026-09-18T09:00:00-05:00,2026-09-18T09:30:00-05:00,blue,00000000-0000-0000-0000-000000000000
Birthday Party,2026-09-18T20:00:00-05:00,2026-09-18T22:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Farmers Market,2026-09-19T10:00:00-05:00,2026-09-19T11:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Rock Climbing,2026-09-19T15:00:00-05:00,2026-09-19T17:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Movie Night,2026-09-20T20:00:00-05:00,2026-09-20T22:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Call Home,2026-09-20T18:00:00-05:00,2026-09-20T18:45:00-05:00,green,00000000-0000-0000-0000-000000000000
Yoga Class,2026-09-07T07:00:00-05:00,2026-09-07T08:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-07T15:00:00-05:00,2026-09-07T16:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Basketball Pickup,2026-09-09T18:00:00-05:00,2026-09-09T19:30:00-05:00,teal,00000000-0000-0000-0000-000000000000
Laundry Day,2026-09-10T19:00:00-05:00,2026-09-10T20:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Client Call,2026-09-11T13:00:00-05:00,2026-09-11T14:00:00-05:00,blue,00000000-0000-0000-0000-000000000000
Morning Run,2026-09-12T08:00:00-05:00,2026-09-12T09:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Movie Night,2026-09-13T20:00:00-05:00,2026-09-13T22:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Morning Run,2026-09-22T06:30:00-05:00,2026-09-22T07:30:00-05:00,teal,00000000-0000-0000-0000-000000000000
Dinner with Roommates,2026-09-22T19:00:00-05:00,2026-09-22T20:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
Rock Climbing,2026-09-24T16:00:00-05:00,2026-09-24T18:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Book Club,2026-09-25T19:00:00-05:00,2026-09-25T20:30:00-05:00,pink,00000000-0000-0000-0000-000000000000
Team Standup,2026-09-25T09:00:00-05:00,2026-09-25T09:15:00-05:00,orange,00000000-0000-0000-0000-000000000000
Farmers Market,2026-09-26T09:00:00-05:00,2026-09-26T10:00:00-05:00,green,00000000-0000-0000-0000-000000000000
Yoga Class,2026-09-28T07:00:00-05:00,2026-09-28T08:00:00-05:00,teal,00000000-0000-0000-0000-000000000000
Demo Prep,2026-09-29T14:00:00-05:00,2026-09-29T15:30:00-05:00,orange,00000000-0000-0000-0000-000000000000
Coffee with Priya,2026-09-30T15:00:00-05:00,2026-09-30T16:00:00-05:00,pink,00000000-0000-0000-0000-000000000000
